configuration_id,n_hidden_layers,number_of_neurons_by_layer,drop_out_prob_by_layer,activation_function_by_layer,beta,optimizer,batch_size,replace,shuffle,max_epochs
'1',3,None,"[0.5,0.5,0.5]","['relu','relu','relu']",0.01,'adam',128,False,True,1000
'2',3,None,"[0.5,0.5,0.5]","['relu','relu','relu']",0.01,'adagrad',128,False,True,1000
'3',3,None,"[0.5,0.5,0.5]","['relu','relu','relu']",0.01,'momentum',128,False,True,1000
'4',3,None,"[0.5,0.5,0.5]","['relu','relu','relu']",0.01,'gradient_descent',128,False,True,1000
'5',3,None,None,"['relu','relu','relu']",0.01,'adam',128,False,True,1000
'9',3,None,"[0.5,0.5,0.5]","['leaky_relu','leaky_relu','leaky_relu']",0.01,'adam',128,False,True,1000
'10',3,None,"[0.5,0.5,0.5]","['leaky_relu','leaky_relu','leaky_relu']",0.01,'adagrad',128,False,True,1000
'11',3,None,"[0.5,0.5,0.5]","['leaky_relu','leaky_relu','leaky_relu']",0.01,'momentum',128,False,True,1000
'12',3,None,"[0.5,0.5,0.5]","['leaky_relu','leaky_relu','leaky_relu']",0.01,'gradient_descent',128,False,True,1000
'13',3,None,None,"['leaky_relu','leaky_relu','leaky_relu']",0.01,'adam',128,False,True,1000
'17',3,None,"[0.5,0.5,0.5]","['maxout','maxout','maxout']",0.01,'adam',128,False,True,1000
'18',3,None,"[0.5,0.5,0.5]","['maxout','maxout','maxout']",0.01,'adagrad',128,False,True,1000
'19',3,None,"[0.5,0.5,0.5]","['maxout','maxout','maxout']",0.01,'momentum',128,False,True,1000
'20',3,None,"[0.5,0.5,0.5]","['maxout','maxout','maxout']",0.01,'gradient_descent',128,False,True,1000
'21',3,None,None,"['maxout','maxout','maxout']",0.01,'adam',128,False,True,1000
'22',3,None,None,"['maxout','maxout','maxout']",0.01,'adagrad',128,False,True,1000
'23',3,None,None,"['maxout','maxout','maxout']",0.01,'momentum',128,False,True,1000
'24',3,None,None,"['maxout','maxout','maxout']",0.01,'gradient_descent',128,False,True,1000
'25',4,None,[0.5,0.5,0.5,0.5],"['relu','relu','relu','relu']",0.01,'adam',128,False,True,1000
'26',4,None,[0.5,0.5,0.5,0.5],"['relu','relu','relu','relu']",0.01,'adagrad',128,False,True,1000
'27',4,None,[0.5,0.5,0.5,0.5],"['relu','relu','relu','relu']",0.01,'momentum',128,False,True,1000
'28',4,None,[0.5,0.5,0.5,0.5],"['relu','relu','relu','relu']",0.01,'gradient_descent',128,False,True,1000
'29',4,None,None,"['relu','relu','relu','relu']",0.01,'adam',128,False,True,1000
'13',3,None,None,"['leaky_relu','leaky_relu','leaky_relu']",0.01,'adam',128,False,True,1000
'14',3,None,None,"['leaky_relu','leaky_relu','leaky_relu']",0.01,'adagrad',128,False,True,1000
'15',3,None,None,"['leaky_relu','leaky_relu','leaky_relu']",0.01,'momentum',128,False,True,1000
